Word;Documents
WORKING;['00019', '00149', '00359', '00392', '01122']
ZETA;['00560', '00560', '00560']
TRANSITIONS;['00621', '00621']
VERTEBRATES;['00270']
POTENT;['00146', '00374', '00945', '00945', '00945']
KULCZYCKI;['00268', '01165']
CHEMICALLY;['00652', '00895']
CHYMOTRYPSIN;['00131', '00131', '00233', '00291', '00291', '00521', '00719', '00815', '00899', '00899', '00899', '01117']
HYDROGENIONS;['00066', '00066', '00066']
APPENDICITIS;['00475', '00475', '00475', '00769']
GENERALIZATION;['01083']
FORTYEIGHT;['00896']
SURFACTANTS;['00265']
DIPHOSPHATERIBOSE;['00890']
NORMALIZE;['00197', '00259']
GREEN;['00131']
RIGHTSIDED;['00842']
APPRECIABLE;['00124', '00542', '00604', '00761']
SIEVING;['00223']
COMPOSITION;['00045', '00052', '00135', '00269', '00288', '00311', '00311', '00319', '00402', '00406', '00440', '00440', '00443', '00471', '00497', '00498', '00515', '00538', '00539', '00567', '00568', '00568', '00621', '00710', '00710', '00711', '00715', '00715', '00715', '00725', '00725', '00820', '00835', '00835', '00856', '00856', '00856', '00928', '00928', '00955', '00956', '00991', '00991', '01030', '01039', '01064', '01196', '01197']
TWICEDAILY;['01034']
TRITON;['00053']
STAGE;['00192', '00287', '00373', '00462', '00548', '00662', '00821', '01034', '01087']
SMALLVOLUME;['00629']
SEROLOGICAL;['00079', '00104', '00204', '00554', '00554', '00554', '00554']
BROTHERS;['00210']
STAFFORDSHIRE;['00038']
ESOPHAGEAL;['00422', '01184']
SWITCHED;['00543']
COMMERCIALLY;['00344', '00395']
CONTRASTED;['00073']
RULING;['00365']
IODINE;['00295', '00295', '00295', '00792', '00792']
PERERA;['01120']
HETEROZYGOTE;['00069', '00071', '00083', '00104', '00104', '00104', '00112', '00199', '00217', '00221', '00235', '00235', '00264', '00289', '00293', '00337', '00338', '00370', '00407', '00420', '00433', '00442', '00465', '00470', '00494', '00494', '00503', '00510', '00530', '00530', '00530', '00530', '00553', '00553', '00575', '00583', '00584', '00584', '00610', '00610', '00740', '00740', '00744', '00749', '00749', '00807', '00851', '00881', '00956', '00966', '01001', '01026', '01061', '01156', '01160', '01166', '01185', '01198', '01210', '01210', '01234', '01236', '01238']
HISTOLOGIC;['00099', '00311', '00478', '00690', '00798']
MEMBRANE;['00044', '00052', '00052', '00066', '00126', '00135', '00140', '00140', '00190', '00190', '00269', '00278', '00278', '00281', '00286', '00286', '00287', '00303', '00303', '00303', '00303', '00343', '00416', '00416', '00430', '00434', '00453', '00484', '00490', '00504', '00528', '00538', '00539', '00539', '00563', '00568', '00570', '00570', '00570', '00575', '00575', '00575', '00575', '00621', '00636', '00711', '00723', '00741', '00741', '00750', '00750', '00755', '00765', '00765', '00765', '00860', '00953', '00953', '00957', '00960', '00960', '00960', '00967', '00967', '00975', '01026', '01029', '01050', '01125', '01125', '01125', '01200']
FRUCTOSAEMIA;['01088']
